"Ano_Ref","Municipio","UF","AG001","ES001","POP_URB","AG006","AG028","ES006","ES028","FN001","FN002","FN003","FN006","FN013","FN023","FN024","FN033","FN042","FN043","FN048","FN052","FN053","FN058"
2021,"Godofredo Viana","Maranhão",2917,NA,7652,425.14,106.02,NA,NA,441153.89,441153.89,NA,263835.24,76585.5,3289.36,0,6375.14,NA,NA,NA,NA,NA,NA
2020,"Nova Iorque","Maranhão",1651,NA,2934,453.97,113.27,NA,NA,231386.44,231386.44,NA,220383.33,65797.43,3169.55,0,6433.88,0,0,0,0,0,0
2018,"Senador La Rocque","Maranhão",13701,NA,6976,2031.69,819.84,NA,NA,1709169.61,1709169.61,NA,1416921.69,600507.55,0,0,0,0,0,0,0,0,0
2018,"Vitória do Mearim","Maranhão",19375,NA,15498,3640.12,182.36,NA,NA,2795008.1,2795008.1,NA,1538961.39,574093.3,0,0,0,0,0,0,0,0,0
2018,"Zé Doca","Maranhão",12660,NA,31662,1423.77,1267.19,NA,NA,1643299.43,1643299.43,NA,1423511.36,948294.97,0,0,0,0,0,0,0,0,0
2017,"Buriti dos Lopes","Piauí",14547,NA,10504,1173.68,513.93,NA,NA,1791172.86,1791172.86,NA,2047850.28,313179.01,0,0,6416.04,0,0,0,0,0,0
2021,"Canto do Buriti","Piauí",15395,NA,11856,1022.04,634.77,NA,NA,3810581.85,3810581.85,NA,3959716.12,500138.21,140000,0,200925.85,0,0,0,0,0,0
2017,"Coivaras","Piauí",3363,NA,1217,1300,125,NA,NA,0,0,NA,0,25000,NA,NA,NA,70000,0,70000,0,0,0
2021,"Curral Novo do Piauí","Piauí",874,NA,1527,55.11,0.81,NA,NA,107851.57,107851.57,NA,113226.3,658.12,66140,0,67882.15,0,0,0,0,0,0
2020,"Marcos Parente","Piauí",4468,NA,3924,308.04,200.03,NA,NA,922533.44,922533.44,NA,973490.63,170615.2,0,0,5109.48,0,0,0,0,0,0
2017,"Marcos Parente","Piauí",4315,NA,3864,328.07,171.56,NA,NA,653936.96,653936.96,NA,795595.75,102583.85,0,0,2333.88,0,0,0,0,0,0
2019,"Monte Alegre do Piauí","Piauí",3883,NA,3058,280.84,153.96,NA,NA,721288.85,721288.85,NA,741243.25,133802.51,0,0,108.91,0,0,0,0,0,0
